name,address,phone,email,lat,lng,url,country,state,city,star_count,rating_count,zip,primary_category_name,category_name,Cuisine,Top Dishes,Price for 2,Dining Rating,Dining Rating Count,Delivery Rating,Delivery Rating Count,Features
RR Mess,"SF No.374, PO, Therkku Thottam, CHIL SEZ Road, Saravanampatti, Coimbatore, Tamil Nadu 641035, India",+91 98941 29912,order.cbe@rrmess.com,11.1017049,76.9952425,http://www.rrmess.com/,India,Tamil Nadu,Coimbatore,4.1,64,641035,Restaurants,Restaurants,"['Burger', ' Fast Food']","['Burgers', ' Peri Peri Fries', ' French Fries', ' Maharaja Mac', ' Chicken Nuggets', ' Rice Bowl', ' Wings']",500,3.9,743,3.9,6226,"['Breakfast', 'Home Delivery', 'Indoor Seating']"
ZWARMA,"D56, 1, Masakalipalayam Rd, Peelamedu, DJ Nagar, Coimbatore, Tamil Nadu 641004, India",+91 95005 99059,support@zwarma.in,11.0239015,77.0175515,http://www.zwarma.in/,India,Tamil Nadu,Coimbatore,4.2,393,641004,Restaurants,Restaurants,['South Indian'],"['Elaneer Payasam', ' Paratha', ' Mutton Chukka', ' Mutton Kola Urundai', ' Mutton Biryani', ' Kali Dosa', ' Nannari Sharbat']",700,4.4,961,3.6,7591,"['Home Delivery', 'Free Parking', 'Indoor Seating', 'Table booking recommended']"
Bon Bon Ice Cream,"69/1, Sathy Rd, G K S Nagar, Ramanandha Nagar, Saravanampatti, Coimbatore, Tamil Nadu 641035, India",+91 422 497 8555,wordpress@example.com,11.0709839,77.0019645,https://www.icecream.ooo/,India,Tamil Nadu,Coimbatore,4.3,941,641035,Restaurants,"Ice cream shops,Sandwich shops,Restaurants,Hamburger restaurants,Coffee stores,American restaurants","['Chinese', ' Chettinad']","['Shawarma', ' Fried Rice Chicken', ' Biryani']",350,4,982,3.8,22400,"['Home Delivery', 'Indoor Seating']"
Ambur Star Briyani ( Near Nehru Stadium ),"24,E-5, UPS SHOPPING COMPLES, NEHRU STADIUM, VOC Park, ATT Colony, Gopalapuram, Coimbatore, Tamil Nadu 641018, India",+91 90876 89966,feedback@amburstarbriyani.com,11.0068538,76.9701613,https://www.amburstarbriyani.com/,India,Tamil Nadu,Coimbatore,4.8,600,641018,Restaurants,Restaurants,"['South Indian', ' Biryani', ' Chinese', ' North Indian']","['Mutton Biryani', ' Faluda', ' Barbeque Chicken', ' Chicken Grill', ' Bbq Chicken', ' Fish Fry', ' Mutton Chops']",900,4.3,770,4,7670,"['Home Delivery', 'Indoor Seating', 'Table reservation required']"
Sizzlly Chicken,"109-A, 2nd St, Cross Cut, Gandhipuram, Coimbatore, Tamil Nadu 641012, India",+91 97919 10062,support@sizzllychicken.com,11.0196805,76.9687082,http://www.sizzllychicken.com/,India,Tamil Nadu,Coimbatore,5,9,641012,Restaurants,"Restaurants,Chicken wings restaurants","['North Indian', ' Chinese', ' Seafood', ' South Indian', ' Biryani']","['Biryani', ' Butter Chicken', ' Tandoori Chicken', ' Tangdi Kabab', ' Paya', ' Paratha', ' Chilli Chicken']",500,4.3,1266,4.2,17700,"['Breakfast', 'Home Delivery', 'Indoor Seating', 'Catering Available']"
yummy bites,"Bharathi nagar 1st street G3, PK kudil upillipalayam, opp. to siva sakthi jyothida nilayam, Coimbatore, Tamil Nadu 641015, India",+91 90920 92086,yummybytes@yahoo.in,11.0124018,77.0227312,https://yummy-bytes.blogspot.com/,India,Tamil Nadu,Coimbatore,0,0,641015,Restaurants,Restaurants,"['South Indian', ' Desserts', ' Beverages']","['Pongal', ' Podi Dosa', ' Idli Sambar', ' Vada Curry', ' Rava Dosa', ' Coffee', ' Masala Dosa']",300,4.5,1094,2.1,1432,"['Breakfast', 'Vegetarian Only', 'Indoor Seating']"
MANI MESS,"76, NSR Rd, Near Pulimaram Bus Stop, Nesavaalar Colony, Saibaba Colony, Coimbatore, Tamil Nadu 641011, India",+91 97517 11555,smb_web@support.whatsapp.com,11.0265068,76.9481201,https://wa.link/31e0mv,India,Tamil Nadu,Coimbatore,3.8,223,641011,Restaurants,"Restaurants,Cafes,Food courts","['Arabian', ' Biryani', ' Chinese', ' North Indian', ' Italian']","['Shawarma', ' Biryani', ' Chicken Grill', ' Kunafa', ' Charcoal Chicken', ' Chicken Shawarama', ' Butter Naan']",800,4.1,1363,3.8,6228,"['Home Delivery', 'Valet Parking Available', 'Indoor Seating', 'Table reservation required']"
Aasife Biriyani Coimbatore (Avinashi Road),"22VW+RW6, 593/1, Avinashi Rd, Peelamedu, Goldwins, Civil Aerodrome Post, Coimbatore, Tamil Nadu 641014, India",+91 85249 99888,admin@aasifebiriyani.com,11.0439575,77.0468369,http://www.aasifebiriyani.com/,India,Tamil Nadu,Coimbatore,4,1106,641014,Restaurants,Restaurants,"['Seafood', ' Biryani', ' Hyderabadi', ' Arabian', ' North Indian', ' Chinese', ' Kerala']","['Haleem', ' Hyderabadi Dum Biryani', ' Brinjal Curry', ' Fish', ' Tandoori Chicken', ' Chicken Grill', ' Mutton Shorba']",1200,4.2,742,4.1,3020,"['Home Delivery', 'Valet Parking Available', 'Indoor Seating', 'Table booking recommended']"
Courtallam Border Rahmath Kadai,"74, Race Course Rd, Gopalapuram, Coimbatore, Tamil Nadu 641018, India",+91 422 420 3777,contact@courtallamborderrahmathhotel.com,10.9997237,76.97325,https://courtallamborderrahmathhotel.com/index.html,India,Tamil Nadu,Coimbatore,3.9,3506,641018,Restaurants,"Traditional restaurants,Chicken restaurants,Indian restaurants,Restaurants,Halal restaurants","['Continental', ' Asian']","['Cocktails', ' Salad', ' Beer', ' Tikka', ' Pork Ribs', ' Steak', ' Nachos']",2000,4.1,354,3.7,876,"['Full Bar Available', 'Mall Parking', 'Dance Floor', 'Nightlife', 'Live Music', 'Serves Cocktails', 'Restricted Entry', 'Resto Bar', 'LGBTQIA Friendly', 'Private Dining Area Available', 'Live Entertainment', 'Indoor Seating', 'Table booking recommended', 'Smoking Area']"
A2A Restaurant - Avarampalayam,"83, 4th Street, Kamaraj Nagar, Avarampalayam, Illango Nagar, Coimbatore, Tamil Nadu 641006, India",+91 90435 30085,info@a2arestaurant.com,11.0254706,76.9836952,https://www.a2arestaurant.com/,India,Tamil Nadu,Coimbatore,4.9,72,641006,Restaurants,"Vegetarian restaurants,Non Vegetarian Restaurants,Restaurants","['Kerala', ' Chinese', ' North Indian', ' Biryani']","['Chicken Grill', ' Paratha', ' Malabari Biryani', ' Pulpy Grape Juice', ' Arabian Grape Juice', ' Bbq Chicken', ' Chicken Butter Masala']",450,4.1,660,3.9,12600,"['Home Delivery', 'Indoor Seating']"
1C DINING,"430, Marudhamalai Rd, near arasu medicals, Veerasamy Colony, P N Pudur, Coimbatore, Tamil Nadu 641041, India",+91 80564 33433,1cdining.cbe@gmail.com,11.0181451,76.9211626,https://1cdining.com/,India,Tamil Nadu,Coimbatore,4,642,641041,Restaurants,"Restaurants,Buffet restaurants,Party planners","['Andhra', ' Biryani', ' North Indian']","['Chicken Guntur', ' Hyderabadi Biryani', ' Guntur Paneer', ' Andhra Biryani', ' Chicken Biryani', ' Gongura Chicken', ' Chicken Fry']",500,4.2,802,4.1,10600,"['Home Delivery', 'Free Parking', 'Indoor Seating']"
"MEAT & EAT, GANAPATHY","AXIS BANK, 92E SAKTHY ROAD GANAPATHY CMS SCHOOL, opp. NEAR, Coimbatore, Tamil Nadu 641006, India",+91 94879 63636,gcc@kavigroup.in,11.0403826,76.9822741,http://www.meatandeat.in/,India,Tamil Nadu,Coimbatore,3.7,131,641006,Restaurants,Restaurants,"['South Indian', ' North Indian', ' Chinese', ' Street Food']","['Vada Curry', ' Filtered Coffee', ' Pongal', ' Ghee Podi Dosa', ' Bonda', ' Masala Dosa', ' Idli']",400,4.3,578,3.9,14700,"['Breakfast', 'Home Delivery', 'Free Parking', 'Indoor Seating']"
Nahdi Mandi Coimbatore,"209/1, Palakkad Main Rd, Kuniyamuthur, Tamil Nadu 641008, India",+91 96565 84000,nahdimandhi@gmail.com,10.9661825,76.9557888,http://www.nahdimandi.com/,India,Tamil Nadu,Coimbatore,4.3,1182,641008,Restaurants,Restaurants,"['Biryani', ' North Indian', ' Chinese']","['Biryani', ' Raita']",650,4.2,1992,3.8,50100,"['Home Delivery', 'Free Parking', 'Indoor Seating']"
K.R. Bakes,"KMCH, OPP, Avinashi Rd, Civil Aerodrome Post, Coimbatore, Tamil Nadu 641014, India",+91 81108 41969,onlineorder@krbakes.com,11.0403303,77.0409678,http://www.krbakes.com/,India,Tamil Nadu,Coimbatore,3.7,191,641014,Restaurants,"Restaurants,Bakery and Cake Shops,Cafes,Bakeries","['North Indian', ' Continental', ' Italian']","['Crispy Chicken', ' Cocktails', ' Pizza', ' Nachos', ' Onion Rings', ' Fajita', ' Mashed Potato']",1500,4.2,464,4.9,3213,"['Full Bar Available', 'Indoor Seating', 'Nightlife', 'Table booking recommended', 'LGBTQIA Friendly', 'Smoking Area', 'Live Sports Screening', 'Valet Parking Available', 'Live Music']"
Momolicious,"77, Link Rd, Periyar Nagar, Coimbatore, Tamil Nadu 641004, India",+91 88832 22278,momoliciouscbe@gmail.com,11.0235926,77.0106565,http://www.momolicious.co.in/,India,Tamil Nadu,Coimbatore,4,612,641004,Restaurants,Restaurants,['South Indian'],"['Rose Milk', ' Neer Dosa', ' Thatte Idli', ' Open Masala Dosa', ' Filtered Coffee', ' Rava Idli', ' Bonda Soup']",250,4.7,782,4.2,2744,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Indoor Seating']"
Mi-pizza R.S puram,"223, Cowley Brown Rd, Vincent Colony, R.S. Puram, Coimbatore, Tamil Nadu 641002, India",+91 72005 00055,info@reachmipizza.com,11.0145367,76.9451148,http://www.reachmipizza.com/,India,Tamil Nadu,Coimbatore,4,2,641002,Restaurants,Restaurants,"['Biryani', ' Chinese', ' North Indian', ' Seafood', ' Beverages']","['Chicken 65', ' Mutton Biryani', ' Tandoori Chicken', ' Chicken Biryani', ' Kothu Parotta', ' Brinjal Gravy', ' Paratha']",550,4.2,1180,4,1717,"['Home Delivery', 'Indoor Seating', 'Catering Available']"
Welcomcafe Kovai,"TS NO: 1266/14, Ward- A (1) Block, 23, W Club Rd, Race Course, Coimbatore, Tamil Nadu 641018, India",+91 422 222 6555,reservations@itchotels.in,10.996293,76.9738459,https://www.itchotels.com/in/en/restaurant-listing.html?hotel=welcomhotelcoimbatore,India,Tamil Nadu,Coimbatore,4.3,402,641018,Restaurants,Restaurants,"['North Indian', ' Mughlai']","['Egg Noodles', ' Punjabi Chicken', ' Cream Chicken', ' Peri Peri Chicken', ' Panneer Butter Masala', ' Dragon Chicken', ' Roti']",550,4.3,1139,3.9,10100,"['Home Delivery', 'Indoor Seating', 'Table booking recommended']"
BARBEQUEEN RESTAURANT(SAIBABA COLONY),"14, Alagesan Rd, Nesavaalar Colony, Saibaba Colony, Coimbatore, Tamil Nadu 641011, India",+91 99447 44833,feedback@barbequeen.com,11.0231332,76.9504151,http://www.barbequeen.com/,India,Tamil Nadu,Coimbatore,4.6,3592,641011,Restaurants,Restaurants,"['South Indian', ' North Indian', ' Chinese']","['Panneer Butter Masala', ' Noodle', ' Chaat', ' Badam Milk', ' Butter Naan']",400,4.2,457,4,19400,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Free Parking', 'Indoor Seating']"
Hotel Junior Kuppanna,"177, Sarojini St, Ram Nagar, Coimbatore, Tamil Nadu 641009, India",+91 422 223 5772,omr@kuppanna.com,11.0113867,76.9651075,http://www.kuppanna.com/,India,Tamil Nadu,Coimbatore,4,3900,641009,Restaurants,"South Indian restaurants,Non Vegetarian Restaurants,Restaurants",['Italian'],"['Pasta', ' Noodle', ' Peri Peri Chicken Pizza']",450,4.1,625,3.3,10300,"['Home Delivery', 'Indoor Seating']"
Shero Home Food,"4/5, New York Ave, Podanur, Coimbatore, Tamil Nadu 641023, India",+91 93600 56005,homefood@shero.in,10.9666329,76.9784392,https://sherohomefood.in/,India,Tamil Nadu,Coimbatore,3.3,6,641023,Restaurants,Restaurants,,,,,,,,
